comuna|fraccion|nombre|barrio
1|1|NULL|27
1|2|NULL|27
1|3|NULL|27
1|4|NULL|27
1|5|NULL|27
1|6|NULL|27
1|7|NULL|27
1|8|NULL|27
1|9|NULL|30
1|10|NULL|30
1|11|NULL|30
1|12|NULL|30
1|13|NULL|47
1|14|NULL|18
1|15|NULL|18
1|16|NULL|18
1|17|NULL|18
1|18|NULL|18
1|19|NULL|18
1|20|NULL|10
1|21|NULL|10
1|22|NULL|10
1|23|NULL|31
1|24|NULL|31
1|25|NULL|31
1|26|NULL|31
1|27|NULL|10
1|28|NULL|10
1|29|NULL|10
2|1|NULL|26
2|2|NULL|26
2|3|NULL|26
2|4|NULL|26
2|5|NULL|26
2|6|NULL|26
2|7|NULL|26
2|8|NULL|26
2|9|NULL|26
2|10|NULL|26
2|11|NULL|26
2|12|NULL|26
2|13|NULL|26
2|14|NULL|26
2|15|NULL|26
2|16|NULL|26
2|17|NULL|26
2|18|NULL|26
2|19|NULL|26
2|20|NULL|26
2|21|NULL|26
2|22|NULL|26
2|23|NULL|26
2|24|NULL|26
2|25|NULL|26
3|1|NULL|3
3|2|NULL|3
3|3|NULL|3
3|4|NULL|3
3|5|NULL|3
3|6|NULL|3
3|7|NULL|3
3|8|NULL|3
3|9|NULL|3
3|10|NULL|3
3|11|NULL|3
3|12|NULL|3
3|13|NULL|3
3|14|NULL|3
3|15|NULL|3
3|16|NULL|3
3|17|NULL|3
3|18|NULL|3
3|19|NULL|3
3|20|NULL|3
3|21|NULL|29
3|22|NULL|29
3|23|NULL|29
3|24|NULL|29
3|25|NULL|29
3|26|NULL|29
3|27|NULL|29
4|1|NULL|19
4|2|NULL|19
4|3|NULL|19
4|4|NULL|19
4|5|NULL|24
4|6|NULL|24
4|7|NULL|24
4|8|NULL|24
4|9|NULL|19
4|10|NULL|4
4|11|NULL|4
4|12|NULL|4
4|13|NULL|4
4|14|NULL|4
4|15|NULL|4
4|16|NULL|6
4|17|NULL|6
4|18|NULL|6
4|19|NULL|6
4|20|NULL|6
4|21|NULL|6
4|22|NULL|4
4|23|NULL|4
4|26|NULL|4
5|1|NULL|2
5|2|NULL|2
5|3|NULL|2
5|4|NULL|2
5|5|NULL|2
5|6|NULL|2
5|7|NULL|2
5|8|NULL|2
5|9|NULL|2
5|10|NULL|2
5|11|NULL|2
5|12|NULL|2
5|13|NULL|2
5|14|NULL|2
5|15|NULL|2
5|16|NULL|2
5|17|NULL|2
5|18|NULL|7
5|19|NULL|7
5|20|NULL|7
5|21|NULL|7
5|22|NULL|7
6|1|NULL|8
6|2|NULL|8
6|3|NULL|8
6|4|NULL|8
6|5|NULL|8
6|6|NULL|8
6|7|NULL|8
6|8|NULL|8
6|9|NULL|8
6|10|NULL|8
6|11|NULL|8
6|12|NULL|8
6|13|NULL|8
6|14|NULL|8
6|15|NULL|8
6|16|NULL|8
6|17|NULL|8
6|18|NULL|8
6|19|NULL|8
6|20|NULL|8
6|21|NULL|8
7|1|NULL|13
7|2|NULL|13
7|3|NULL|13
7|4|NULL|13
7|5|NULL|13
7|6|NULL|13
7|7|NULL|13
7|8|NULL|13
7|9|NULL|13
7|10|NULL|13
7|11|NULL|13
7|12|NULL|23
7|13|NULL|13
7|14|NULL|13
7|15|NULL|13
7|16|NULL|13
7|17|NULL|13
7|18|NULL|13
7|19|NULL|13
7|20|NULL|23
7|21|NULL|23
7|22|NULL|23
7|23|NULL|23
7|24|NULL|23
8|1|NULL|40
8|2|NULL|40
8|3|NULL|40
8|4|NULL|40
8|5|NULL|40
