comuna|fraccion|radio|manzana|nombre
1|13|1|0|NULL
1|13|4|0|NULL
1|13|13|0|NULL
1|13|14|0|NULL
1|1|1|1|NULL
1|3|1|1|NULL
1|4|1|1|NULL
1|5|1|1|NULL
1|6|1|1|NULL
1|7|1|1|NULL
1|8|1|1|NULL
1|9|1|1|NULL
1|10|4|1|NULL
1|11|1|1|NULL
1|12|1|1|NULL
1|13|1|1|NULL
1|14|1|1|NULL
1|15|1|1|NULL
1|16|9|1|NULL
1|17|1|1|NULL
1|18|1|1|NULL
1|19|1|1|NULL
1|20|1|1|NULL
1|21|1|1|NULL
1|22|1|1|NULL
1|23|1|1|NULL
1|24|1|1|NULL
1|25|1|1|NULL
1|26|1|1|NULL
1|27|2|1|NULL
1|28|1|1|NULL
1|29|1|1|NULL
2|1|1|1|NULL
2|3|1|1|NULL
2|4|3|1|NULL
2|5|8|1|NULL
2|6|1|1|NULL
2|7|1|1|NULL
2|8|3|1|NULL
2|9|2|1|NULL
2|10|3|1|NULL
2|11|2|1|NULL
2|12|2|1|NULL
2|13|2|1|NULL
2|14|1|1|NULL
2|15|1|1|NULL
2|16|1|1|NULL
2|17|1|1|NULL
2|18|1|1|NULL
2|19|1|1|NULL
2|20|1|1|NULL
2|21|1|1|NULL
2|22|3|1|NULL
2|23|1|1|NULL
2|24|2|1|NULL
2|25|1|1|NULL
3|2|1|1|NULL
3|3|1|1|NULL
3|4|1|1|NULL
3|5|1|1|NULL
3|6|1|1|NULL
3|7|1|1|NULL
3|8|1|1|NULL
3|9|1|1|NULL
3|10|1|1|NULL
3|11|1|1|NULL
3|12|1|1|NULL
3|13|2|1|NULL
3|14|1|1|NULL
3|15|1|1|NULL
3|16|1|1|NULL
3|17|1|1|NULL
3|18|2|1|NULL
3|19|1|1|NULL
3|20|1|1|NULL
3|21|1|1|NULL
3|22|1|1|NULL
3|23|1|1|NULL
3|24|1|1|NULL
3|25|1|1|NULL
3|26|2|1|NULL
3|27|1|1|NULL
4|1|1|1|NULL
4|2|7|1|NULL
4|3|1|1|NULL
4|4|1|1|NULL
4|5|1|1|NULL
4|6|1|1|NULL
4|7|1|1|NULL
4|8|2|1|NULL
4|11|1|1|NULL
4|12|3|1|NULL
4|13|1|1|NULL
4|14|1|1|NULL
4|15|1|1|NULL
4|16|1|1|NULL
4|17|2|1|NULL
4|19|1|1|NULL
4|20|1|1|NULL
4|22|1|1|NULL
4|23|1|1|NULL
5|1|6|1|NULL
5|2|1|1|NULL
5|3|1|1|NULL
5|4|1|1|NULL
5|5|1|1|NULL
5|6|1|1|NULL
5|7|2|1|NULL
5|8|1|1|NULL
5|9|1|1|NULL
5|10|1|1|NULL
5|11|2|1|NULL
5|12|7|1|NULL
5|13|1|1|NULL
5|14|1|1|NULL
5|15|3|1|NULL
5|16|1|1|NULL
5|17|5|1|NULL
5|18|1|1|NULL
5|19|1|1|NULL
5|20|1|1|NULL
5|21|1|1|NULL
5|22|1|1|NULL
6|1|1|1|NULL
6|2|5|1|NULL
6|3|1|1|NULL
6|4|1|1|NULL
6|6|1|1|NULL
6|7|6|1|NULL
6|8|3|1|NULL
6|9|1|1|NULL
6|10|1|1|NULL
