muestra|Comuna|Fraccion|Radio|Manzana|relevamiento
10049|1|13|1|0|Locales
10049|1|13|4|0|Locales
10039|1|13|13|0|Listado
10026|1|13|14|0|Locales
10036|1|1|1|1|Listado
10026|1|3|1|1|Listado
10017|1|4|1|1|Locales
10047|1|4|1|1|Listado
10017|1|5|1|1|Listado
10039|1|5|1|1|Locales
10014|1|6|1|1|Locales
10047|1|6|1|1|Locales
10017|1|7|1|1|Listado
10047|1|7|1|1|Listado
10017|1|8|1|1|Listado
10047|1|8|1|1|Locales
10017|1|9|1|1|Listado
10039|1|9|1|1|Locales
10024|1|10|4|1|Locales
10024|1|11|1|1|Locales
10017|1|12|1|1|Locales
10047|1|12|1|1|Listado
10014|1|13|1|1|Locales
10049|1|13|1|1|Listado
10017|1|14|1|1|Locales
10032|1|14|1|1|Listado
10039|1|14|1|1|Locales
10017|1|15|1|1|Listado
10047|1|15|1|1|Listado
10017|1|16|9|1|Listado
10039|1|16|9|1|Locales
10017|1|17|1|1|Listado
10047|1|17|1|1|Listado
10024|1|18|1|1|Locales
10024|1|19|1|1|Locales
10017|1|20|1|1|Locales
10035|1|20|1|1|Listado
10024|1|21|1|1|Listado
10024|1|22|1|1|Locales
10017|1|23|1|1|Locales
10047|1|23|1|1|Listado
10017|1|24|1|1|Listado
10047|1|24|1|1|Locales
10017|1|25|1|1|Listado
10032|1|25|1|1|Listado
10027|1|26|1|1|Listado
10024|1|27|2|1|Listado
10024|1|28|1|1|Locales
10030|1|29|1|1|Locales
10024|2|1|1|1|Locales
10049|2|1|1|1|Locales
10017|2|3|1|1|Locales
10042|2|3|1|1|Listado
10009|2|4|3|1|Locales
10042|2|4|3|1|Listado
10017|2|5|8|1|Locales
10039|2|5|8|1|Listado
10010|2|6|1|1|Listado
10042|2|6|1|1|Listado
10027|2|7|1|1|Listado
10017|2|8|3|1|Locales
10042|2|8|3|1|Listado
10017|2|9|2|1|Listado
10042|2|9|2|1|Listado
10017|2|10|3|1|Listado
10042|2|10|3|1|Listado
10024|2|11|2|1|Locales
10049|2|11|2|1|Listado
10030|2|12|2|1|Locales
10030|2|13|2|1|Locales
10027|2|14|1|1|Locales
10012|2|15|1|1|Locales
10042|2|15|1|1|Listado
10024|2|16|1|1|Locales
10032|2|16|1|1|Listado
10028|2|17|1|1|Listado
10017|2|18|1|1|Locales
10042|2|18|1|1|Listado
10017|2|19|1|1|Listado
10039|2|19|1|1|Locales
10030|2|20|1|1|Listado
10027|2|21|1|1|Locales
10024|2|22|3|1|Listado
10049|2|22|3|1|Locales
10030|2|23|1|1|Listado
10030|2|24|2|1|Locales
10030|2|25|1|1|Listado
10017|3|2|1|1|Locales
10041|3|2|1|1|Locales
10017|3|3|1|1|Locales
10041|3|3|1|1|Locales
10026|3|4|1|1|Locales
10024|3|5|1|1|Listado
10049|3|5|1|1|Listado
10024|3|6|1|1|Listado
10049|3|6|1|1|Listado
10017|3|7|1|1|Locales
10041|3|7|1|1|Listado
10017|3|8|1|1|Locales
10039|3|8|1|1|Listado
10041|3|8|1|1|Listado
10024|3|9|1|1|Listado
10049|3|9|1|1|Listado
10017|3|10|1|1|Locales
10037|3|10|1|1|Listado
10041|3|10|1|1|Listado
10026|3|11|1|1|Listado
10017|3|12|1|1|Locales
10037|3|12|1|1|Listado
10024|3|13|2|1|Listado
10049|3|13|2|1|Locales
10024|3|14|1|1|Locales
10049|3|14|1|1|Locales
10017|3|15|1|1|Listado
10037|3|15|1|1|Listado
10024|3|16|1|1|Listado
10049|3|16|1|1|Locales
10024|3|17|1|1|Locales
10049|3|17|1|1|Listado
10024|3|18|2|1|Listado
10049|3|18|2|1|Listado
10017|3|19|1|1|Listado
10037|3|19|1|1|Listado
10024|3|20|1|1|Locales
10049|3|20|1|1|Listado
10026|3|21|1|1|Listado
10017|3|22|1|1|Locales
10037|3|22|1|1|Listado
10017|3|23|1|1|Locales
10037|3|23|1|1|Listado
10017|3|24|1|1|Listado
10037|3|24|1|1|Locales
10017|3|25|1|1|Locales
10037|3|25|1|1|Locales
10039|3|25|1|1|Listado
10026|3|26|2|1|Listado
10017|3|27|1|1|Listado
10037|3|27|1|1|Listado
10024|4|1|1|1|Locales
10017|4|2|7|1|Locales
10039|4|2|7|1|Locales
10028|4|3|1|1|Listado
10028|4|4|1|1|Listado
10024|4|5|1|1|Locales
10017|4|6|1|1|Locales
10045|4|6|1|1|Locales
10017|4|7|1|1|Locales
10032|4|7|1|1|Locales
10012|4|8|2|1|Locales
10045|4|8|2|1|Listado
10017|4|11|1|1|Listado
10045|4|11|1|1|Listado
10028|4|12|3|1|Listado
10017|4|13|1|1|Listado
10039|4|13|1|1|Locales
10024|4|14|1|1|Listado
10030|4|15|1|1|Listado
10024|4|16|1|1|Locales
10036|4|17|2|1|Listado
10027|4|19|1|1|Listado
10017|4|20|1|1|Locales
10045|4|20|1|1|Locales
10030|4|22|1|1|Locales
10017|4|23|1|1|Locales
10045|4|23|1|1|Locales
10017|5|1|6|1|Locales
10035|5|1|6|1|Listado
10026|5|2|1|1|Listado
10030|5|3|1|1|Listado
10030|5|4|1|1|Listado
10019|5|5|1|1|Locales
10049|5|5|1|1|Locales
10024|5|6|1|1|Listado
10049|5|6|1|1|Locales
10019|5|7|2|1|Listado
10049|5|7|2|1|Locales
10017|5|8|1|1|Locales
10037|5|8|1|1|Listado
10017|5|9|1|1|Locales
10035|5|9|1|1|Locales
10030|5|10|1|1|Listado
10011|5|11|2|1|Listado
10037|5|11|2|1|Locales
10017|5|12|7|1|Listado
10037|5|12|7|1|Locales
10009|5|13|1|1|Listado
10037|5|13|1|1|Locales
10030|5|14|1|1|Listado
10012|5|15|3|1|Listado
10037|5|15|3|1|Locales
10017|5|16|1|1|Listado
10037|5|16|1|1|Locales
10030|5|17|5|1|Listado
10017|5|18|1|1|Locales
10037|5|18|1|1|Listado
10039|5|18|1|1|Listado
10017|5|19|1|1|Listado
10037|5|19|1|1|Listado
10017|5|20|1|1|Locales
10037|5|20|1|1|Listado
10017|5|21|1|1|Locales
10037|5|21|1|1|Locales
10030|5|22|1|1|Listado
10017|6|1|1|1|Locales
10038|6|1|1|1|Locales
10009|6|2|5|1|Locales
10038|6|2|5|1|Locales
10027|6|3|1|1|Locales
10024|6|4|1|1|Locales
10049|6|4|1|1|Locales
10017|6|6|1|1|Listado
10038|6|6|1|1|Locales
10024|6|7|6|1|Locales
10049|6|7|6|1|Listado
10024|6|8|3|1|Listado
10049|6|8|3|1|Listado
10026|6|9|1|1|Listado
10017|6|10|1|1|Locales
10032|6|10|1|1|Locales
10017|6|11|1|1|Locales
10046|6|11|1|1|Listado
10026|6|12|2|1|Locales
10017|6|13|1|1|Listado
10046|6|13|1|1|Listado
10017|6|14|1|1|Locales
10039|6|14|1|1|Listado
10017|6|15|1|1|Listado
10046|6|15|1|1|Locales
10030|6|16|1|1|Listado
10030|6|17|2|1|Listado
10024|6|18|2|1|Listado
10049|6|18|2|1|Listado
10024|6|19|1|1|Locales
10049|6|19|1|1|Locales
10024|6|20|1|1|Listado
10049|6|20|1|1|Locales
10024|6|21|1|1|Listado
10049|6|21|1|1|Listado
10013|7|1|1|1|Listado
10046|7|1|1|1|Locales
10017|7|2|1|1|Locales
10046|7|2|1|1|Listado
10017|7|3|1|1|Listado
10046|7|3|1|1|Locales
10017|7|4|1|1|Locales
10046|7|4|1|1|Locales
10024|7|5|9|1|Listado
10024|7|6|3|1|Listado
10024|7|7|1|1|Listado
10024|7|8|1|1|Locales
10028|7|9|10|1|Listado
10017|7|10|1|1|Locales
10046|7|10|1|1|Locales
10027|7|11|3|1|Locales
10030|7|12|1|1|Listado
10017|7|13|1|1|Locales
10046|7|13|1|1|Listado
10030|7|14|1|1|Listado
10020|7|15|2|1|Locales
10017|7|16|1|1|Listado
10039|7|16|1|1|Listado
10045|7|17|1|1|Locales
10024|7|19|1|1|Listado
10034|7|19|1|1|Locales
10009|7|20|1|1|Listado
10046|7|20|1|1|Listado
10017|7|21|1|1|Locales
10047|7|21|1|1|Locales
10017|7|22|1|1|Locales
10047|7|22|1|1|Listado
10017|7|23|1|1|Locales
10047|7|23|1|1|Locales
10017|7|24|1|1|Locales
10047|7|24|1|1|Listado
10024|8|1|2|1|Locales
10024|8|2|1|1|Locales
10027|8|3|1|1|Locales
10027|8|4|1|1|Locales
10030|8|5|1|1|Listado
10011|8|6|1|1|Listado
10049|8|6|1|1|Locales
10024|8|9|1|1|Listado
10024|8|10|1|1|Listado
10030|8|11|1|1|Locales
10030|8|12|1|1|Locales
10018|8|13|1|1|Listado
10024|8|16|1|1|Locales
10011|8|17|1|1|Listado
10018|8|17|1|1|Listado
10030|9|2|1|1|Locales
10024|9|3|1|1|Locales
10034|9|3|1|1|Locales
10030|9|4|1|1|Locales
10017|9|5|2|1|Listado
10046|9|5|2|1|Listado
10017|9|6|1|1|Locales
10034|9|6|1|1|Listado
10024|9|8|3|1|Listado
10050|9|8|3|1|Locales
10030|9|9|3|1|Locales
10030|9|11|1|1|Listado
10017|9|12|1|1|Listado
10043|9|12|1|1|Locales
10024|9|13|3|1|Locales
10050|9|13|3|1|Listado
10010|9|15|1|1|Locales
10043|9|15|1|1|Locales
10017|9|16|2|1|Locales
10039|9|16|2|1|Listado
10009|10|1|1|1|Listado
10043|10|1|1|1|Locales
10024|10|2|1|1|Listado
10050|10|2|1|1|Listado
10028|10|3|2|1|Listado
10017|10|4|1|1|Listado
10035|10|4|1|1|Locales
10024|10|5|1|1|Locales
10050|10|5|1|1|Listado
10024|10|6|1|1|Listado
10050|10|6|1|1|Locales
10017|10|7|1|1|Locales
10043|10|7|1|1|Listado
10017|10|8|2|1|Locales
10043|10|8|2|1|Listado
10030|10|9|1|1|Locales
10017|10|10|1|1|Listado
10043|10|10|1|1|Locales
10024|10|11|1|1|Locales
10050|10|11|1|1|Locales
10013|10|12|1|1|Listado
10043|10|12|1|1|Locales
10024|10|13|1|1|Listado
10050|10|13|1|1|Locales
10013|10|14|1|1|Listado
10034|10|14|1|1|Locales
10024|10|15|1|1|Listado
10050|10|15|1|1|Locales
10017|10|16|2|1|Locales
10043|10|16|2|1|Listado
10024|10|17|1|1|Listado
10050|10|17|1|1|Listado
10024|10|18|5|1|Locales
10050|10|18|5|1|Locales
10024|10|19|3|1|Locales
10050|10|19|3|1|Listado
10027|11|1|1|1|Listado
10026|11|2|2|1|Locales
10024|11|3|1|1|Listado
10050|11|3|1|1|Locales
10010|11|4|1|1|Locales
10043|11|4|1|1|Listado
10024|11|5|1|1|Listado
10050|11|5|1|1|Locales
10017|11|6|5|1|Listado
10043|11|6|5|1|Locales
10017|11|7|1|1|Listado
10043|11|7|1|1|Locales
10024|11|8|1|1|Listado
10050|11|8|1|1|Listado
10024|11|9|1|1|Listado
10050|11|9|1|1|Locales
10017|11|10|1|1|Locales
10043|11|10|1|1|Listado
10026|11|11|1|1|Listado
10017|11|12|1|1|Listado
10043|11|12|1|1|Listado
10017|11|13|1|1|Listado
10043|11|13|1|1|Listado
10027|11|14|1|1|Listado
10017|11|15|1|1|Locales
10046|11|15|1|1|Listado
10009|11|16|1|1|Listado
10043|11|16|1|1|Listado
10017|11|17|1|1|Listado
10043|11|17|1|1|Listado
10024|11|18|1|1|Locales
10050|11|18|1|1|Listado
10024|11|19|1|1|Locales
10050|11|19|1|1|Locales
10030|11|20|1|1|Locales
10013|11|21|1|1|Listado
10043|11|21|1|1|Locales
10017|11|22|4|1|Locales
10043|11|22|4|1|Locales
10024|12|1|4|1|Listado
10050|12|1|4|1|Listado
10017|12|2|4|1|Listado
10043|12|2|4|1|Listado
10026|12|3|1|1|Locales
10028|12|3|1|1|Locales
10017|12|4|4|1|Locales
10046|12|4|4|1|Locales
10009|12|5|4|1|Locales
10043|12|5|4|1|Listado
10017|12|6|1|1|Listado
10043|12|6|1|1|Locales
10030|12|7|1|1|Locales
10024|12|9|1|1|Locales
10050|12|9|1|1|Locales
10017|12|10|1|1|Listado
10043|12|10|1|1|Locales
10017|12|11|2|1|Locales
10046|12|11|2|1|Locales
10024|12|12|1|1|Listado
10050|12|12|1|1|Locales
10017|12|13|7|1|Listado
10046|12|13|7|1|Locales
10017|12|14|1|1|Locales
10046|12|14|1|1|Listado
10017|12|16|1|1|Listado
10046|12|16|1|1|Locales
10024|12|17|1|1|Locales
10050|12|17|1|1|Locales
10009|12|18|1|1|Listado
10046|12|18|1|1|Listado
10024|12|19|3|1|Listado
10050|12|19|3|1|Listado
10026|12|20|4|1|Listado
10030|12|20|4|1|Listado
10024|12|22|1|1|Listado
10050|12|22|1|1|Locales
10024|13|1|1|1|Locales
10050|13|1|1|1|Listado
10017|13|2|1|1|Locales
10046|13|2|1|1|Locales
10017|13|3|2|1|Locales
10048|13|3|2|1|Locales
10017|13|4|1|1|Listado
10046|13|4|1|1|Locales
10017|13|5|1|1|Listado
10046|13|5|1|1|Locales
10027|13|6|2|1|Listado
10027|13|7|1|1|Listado
10017|13|8|1|1|Listado
10046|13|8|1|1|Locales
10017|13|9|3|1|Listado
10039|13|9|3|1|Locales
10017|13|11|3|1|Listado
10046|13|11|3|1|Locales
10017|13|12|1|1|Listado
10039|13|12|1|1|Locales
10017|13|13|1|1|Listado
10039|13|13|1|1|Locales
10013|13|14|6|1|Locales
10046|13|14|6|1|Listado
10017|13|15|1|1|Locales
10046|13|15|1|1|Listado
10027|13|16|1|1|Listado
10017|13|17|1|1|Listado
10046|13|17|1|1|Locales
10017|13|18|1|1|Locales
10046|13|18|1|1|Locales
10017|13|19|1|1|Listado
10046|13|19|1|1|Listado
10026|13|20|1|1|Locales
