comuna|fraccion|radio|nombre
1|1|1|NULL
1|2|1|NULL
1|3|1|NULL
1|4|1|NULL
1|5|1|NULL
1|6|1|NULL
1|7|1|NULL
1|8|1|NULL
1|9|1|NULL
1|10|1|NULL
1|11|1|NULL
1|12|1|NULL
1|13|1|NULL
1|14|1|NULL
1|15|1|NULL
1|16|1|NULL
1|17|1|NULL
1|18|1|NULL
1|19|1|NULL
1|20|1|NULL
1|21|1|NULL
1|22|1|NULL
1|23|1|NULL
1|24|1|NULL
1|25|1|NULL
1|26|1|NULL
1|27|1|NULL
1|28|1|NULL
1|29|1|NULL
2|1|1|NULL
2|2|1|NULL
2|3|1|NULL
2|4|1|NULL
2|5|1|NULL
2|6|1|NULL
2|7|1|NULL
2|8|1|NULL
2|9|1|NULL
2|10|1|NULL
2|11|1|NULL
2|12|1|NULL
2|13|1|NULL
2|14|1|NULL
2|15|1|NULL
2|16|1|NULL
2|17|1|NULL
2|18|1|NULL
2|19|1|NULL
2|20|1|NULL
2|21|1|NULL
2|22|1|NULL
2|23|1|NULL
2|24|1|NULL
2|25|1|NULL
3|1|1|NULL
3|2|1|NULL
3|3|1|NULL
3|4|1|NULL
3|5|1|NULL
3|6|1|NULL
3|7|1|NULL
3|8|1|NULL
3|9|1|NULL
3|10|1|NULL
3|11|1|NULL
3|12|1|NULL
3|13|1|NULL
3|14|1|NULL
3|15|1|NULL
3|16|1|NULL
3|17|1|NULL
3|18|1|NULL
3|19|1|NULL
3|20|1|NULL
3|21|1|NULL
3|22|1|NULL
3|23|1|NULL
3|24|1|NULL
3|25|1|NULL
3|26|1|NULL
3|27|1|NULL
4|1|1|NULL
4|2|1|NULL
4|3|1|NULL
4|4|1|NULL
4|5|1|NULL
4|6|1|NULL
4|7|1|NULL
4|8|1|NULL
4|9|1|NULL
4|10|1|NULL
4|11|1|NULL
4|12|1|NULL
4|13|1|NULL
4|14|1|NULL
4|15|1|NULL
4|16|1|NULL
4|17|1|NULL
4|18|1|NULL
4|19|1|NULL
4|20|1|NULL
4|21|1|NULL
4|22|1|NULL
4|23|1|NULL
4|26|1|NULL
5|1|1|NULL
5|2|1|NULL
5|3|1|NULL
5|4|1|NULL
5|5|1|NULL
5|6|1|NULL
5|7|1|NULL
5|8|1|NULL
5|9|1|NULL
5|10|1|NULL
5|11|1|NULL
5|12|1|NULL
5|13|1|NULL
5|14|1|NULL
5|15|1|NULL
5|16|1|NULL
5|17|1|NULL
5|18|1|NULL
5|19|1|NULL
5|20|1|NULL
5|21|1|NULL
5|22|1|NULL
6|1|1|NULL
